name;code;archived
Belgien;BE;true
Dänemark;DK;false
Deutschland;DE;false
Kanada;CA;true
Niederlande;NL;false
Norwegen;NO;true
Österreich;AT;false
Polen;PL;true
Schweden;SE;true
Spanien;ES;true
Tschechien;CZ;false
Vereinigtes Königreich;GB;false
